id,person_id,name,type,source
1,21620,四杰,Hao,
2,21620,四,HangDi,
3,21620,观光,Zi,
4,17226,必简,Zi,
5,17226,文章四友,FamousName,
6,17226,五,HangDi,
7,18262,子安,Zi,
8,13975,宋少连,Ming,
9,13975,延清,Zi,
10,13975,少连,PreUsedName,
11,13975,五,HangDi,
12,13975,宋考功,FamousName,
13,17898,云卿,Zi,
14,17898,沈宋,FamousName,
15,17898,三,HangDi,
16,17898,沈詹事,FamousName,
17,20191,季真,Zi,
18,20191,四明狂客,Hao,
19,20191,四明狂监,FamousName,
20,20191,狂吟老监,FamousName,
21,20191,吴中四士,FamousName,
22,20191,秘书外监,Hao,
23,20191,八,HangDi,
24,20191,贺监,FamousName,
25,20887,伯玉,Zi,
26,20887,大,HangDi,
27,15158,吴中四士,FamousName,
28,15158,张颠,FamousName,
29,15158,醉旭,FamousName,
30,15158,颠张,BieCheng,
31,15158,伯高,Zi,
32,15158,九,HangDi,
33,15164,子寿,Zi,
34,15164,曲江,Hao,
35,15164,唐曲江公,ZunHao,
36,15164,始兴公,FengJue,
37,15164,贤相,BieCheng,
38,15164,文献,ShiHao,
39,15164,始兴县伯,FengJue,
40,15164,曲江男,FengJue,
41,18220,季淩,Zi,
42,18220,季凌,Zi,
43,18220,七,HangDi,
44,13993,浩然,Zi,
45,13993,孟夫子,FamousName,
46,13993,孟襄阳,FamousName,
47,13993,六,HangDi,
48,17166,丘尉,FengJue,
49,19116,季通,Zi,
50,19116,孝通,Zi,
51,19116,三,HangDi,
52,18935,三,HangDi,
53,18440,少伯,Zi,
54,18440,王江宁,FamousName,
55,18440,王龙标,BieCheng,
56,18440,大,HangDi,
57,21646,达夫,Zi,
58,21646,仲武,Zi,
59,21646,渤海县侯,FengJue,
60,21646,高常侍,FamousName,
61,21646,忠,ShiHao,
62,21646,三十五,HangDi,
63,21646,丘尉,FengJue,
64,15188,太白,Zi,
65,15188,十二,HangDi,
66,15188,白也,FamousName,
67,15188,骑鲸仙人,FamousName,
68,15188,海上钓鳌客,BieCheng,
69,15188,骑鲸公子,FamousName,
70,15188,骑鲸诗客,FamousName,
71,15188,骑鲸李,FamousName,
72,15188,骑鲸客,FamousName,
73,15188,鲸仙,FamousName,
74,15188,锦袍仙,FamousName,
75,15188,青莲李居士,FamousName,
76,15188,青莲李翰林,FamousName,
77,15188,青莲李供奉,FamousName,
78,15188,青莲居士,Hao,
79,15188,谪仙,BieCheng,
80,15188,诗仙,BieCheng,
81,18616,摩诘,Zi,
82,18616,诗天子,FamousName,
83,18616,王辋川,FamousName,
84,18616,王右丞,FamousName,
85,18616,十三,HangDi,
86,17270,子美,Zi,
87,17270,老杜,FamousName,
88,17270,杜老,FamousName,
89,17270,杜少陵,FamousName,
90,17270,少陵,FamousName,
91,17270,杜陵,FamousName,
92,17270,杜陵杰,FamousName,
93,17270,杜浣花,FamousName,
94,17270,杜陵老,FamousName,
95,17270,杜陵翁,FamousName,
96,17270,杜陵叟,FamousName,
97,17270,杜陵野客,FamousName,
98,17270,杜陵野老,FamousName,
99,17270,杜陵遗老,FamousName,
100,17270,杜陵风雨手,FamousName,
101,17270,杜草堂,FamousName,
102,17270,杜工部,FamousName,
103,17270,杜二拾遗,FamousName,
104,17270,诗宰相,FamousName,
105,17270,二,HangDi,
106,17270,杜陵布衣,BieCheng,
107,17270,少陵野老,BieCheng,
108,17270,浣花草堂,FamousName,
109,17270,诗圣,BieCheng,
110,17270,襄阳杜甫,BieCheng,
111,17270,杜拾遗,FamousName,
112,14895,崔灏,BieCheng,
113,18821,茂政,Zi,
114,14000,岑嘉州,FamousName,
115,14000,二十七,HangDi,
116,20818,仲文,Zi,
117,20818,大历十才子,FamousName,
118,20818,钱考功,FamousName,
119,20818,大,HangDi,
120,12931,次山,Zi,
121,12931,浪翁,BieCheng,
122,12931,浪士,BieCheng,
123,12931,猗玕子,Hao,
124,12931,漫郎,Hao,
125,12931,漫叟,Hao,
126,12931,聱叟,Hao,
127,12931,元子,BieCheng,
128,12931,猗玗子,Hao,
129,12931,元,Xing,
130,18851,清昼,Zi,
131,18851,谢,SuXing,
132,18851,长生和尚,FamousName,
133,18851,皎然,Zi,
134,18851,如昼,Zi,
135,18851,昼,Ming,
136,13632,文明,Zi,
137,13632,文初,Zi,
138,13632,十四,HangDi,
139,21491,君平,Zi,
140,21491,大历十才子,FamousName,
141,21659,逋翁,Zi,
142,21659,华阳山人,BieCheng,
143,21659,悲翁,Hao,
144,21659,十二,HangDi,
145,15243,幼公,Zi,
146,15243,次公,Zi,
147,15243,叔伦,Zi,
148,15243,谯县开国男,FengJue,
149,15243,戴容州,FamousName,
150,15243,谯县男,FengJue,
151,16967,正己,Zi,
152,16967,大历十才子,FamousName,
153,16967,二,HangDi,
154,17561,柳淡,BieCheng,
155,17561,谈,Ming,
156,17561,淡,Ming,
157,21277,韦苏州,FamousName,
158,21277,十九,HangDi,
159,21277,韦左司,FamousName,
160,21277,韦江州,FamousName,
161,21277,西斋,BieCheng,
162,15634,懿孙,Zi,
163,15634,二十,HangDi,
164,13496,允言,Zi,
165,15274,君虞,Zi,
166,15274,十,HangDi,
167,13340,文房,Zi,
168,13340,刘随州,FamousName,
169,13340,八,HangDi,
170,14010,东野,Zi,
171,14010,贞曜先生,ShiHao,
172,14010,十二,HangDi,
173,14010,贞矅先生,ShiHao,
174,15294,载之,Zi,
175,15294,文,ShiHao,
176,15294,三,HangDi,
177,15294,扶风郡公,FengJue,
178,15063,伯迁,Zi,
179,18626,子羽,Zi,
180,18626,王浣,BieCheng,
181,18626,浣,Ming,
182,15628,文昌,Zi,
183,15628,张司业,FamousName,
184,15628,十八,HangDi,
185,15628,韩门弟子,FamousName,
186,51027,高丽王,FengJue,
187,51027,高丽太祖,BieCheng,
188,51027,若天,Zi,
189,21679,退之,Zi,
190,21679,韩潮州,FamousName,
191,21679,韩吏部,FamousName,
192,21679,昌黎伯,FamousName,
193,21679,昌黎先生,FamousName,
194,21679,昌黎文公,FamousName,
195,21679,韩昌黎,FamousName,
196,21679,文,ShiHao,
197,21679,韩文公,BieCheng,
198,21679,二,HangDi,
199,14603,梦得,Zi,
200,14603,刘宾客,FamousName,
201,14603,前度刘郎,FamousName,
202,14603,二十八,HangDi,
203,18804,乐天,Zi,
204,18804,醉吟先生,Hao,
205,18804,香山居士,Hao,
206,18804,香山老子,FamousName,
207,18804,香山老居士,FamousName,
208,18804,白司马,FamousName,
209,18804,白傅,FamousName,
210,18804,白少傅,FamousName,
211,18804,浔阳叟,BieCheng,
212,18804,文,ShiHao,
213,18804,二十二,HangDi,
214,18804,白,Xing,
215,18804,白文公,BieCheng,
216,18804,冯翊县侯,FengJue,
217,17578,子厚,Zi,
218,17578,柳柳州,FamousName,
219,17578,柳仪曹,FamousName,
220,17578,柳河东,FamousName,
221,17578,八,HangDi,
222,17578,颂者,FamousName,
223,14615,微之,Zi,
224,14615,元九,FamousName,
225,14615,威明,Zi,
226,14615,九,HangDi,
227,20204,无本,Ming,
228,20204,浪仙,Zi,
229,20204,阆仙,Zi,
230,20204,瘦岛,FamousName,
231,20204,贾岛佛,FamousName,
232,20204,碣石山人,BieCheng,
233,20204,贾长江,FamousName,
234,15618,承吉,Zi,
235,15618,张祐,BieCheng,
236,15618,三,HangDi,
237,19980,用晦,Zi,
238,19980,许丁卯,BieCheng,
239,19980,仲晦,Zi,
240,19980,七,HangDi,
241,18032,飞卿,Zi,
242,18032,温八叉,FamousName,
243,18032,岐,PreUsedName,
244,18032,温八吟,Hao,
245,18032,十六,HangDi,
246,17274,牧之,Zi,
247,17274,小杜,FamousName,
248,17274,杜紫微,FamousName,
249,17274,樊川翁,Hao,
250,17274,池州杜员外,FamousName,
251,17274,杜司勋,FamousName,
252,17274,十三,HangDi,
253,17274,杜樊川,FamousName,
254,21163,嵩伯,Zi,
255,21163,三教布衣,Hao,
256,19718,陶臣,Zi,
257,16489,义山,Zi,
258,16489,玉溪生,Hao,
259,16489,樊南生,Hao,
260,16489,十六,HangDi,
261,16489,玉溪,Hao,
262,21596,虞臣,Zi,
263,20615,台文,Zi,
264,20615,荥阳郡侯,FengJue,
265,20615,文昭,ShiHao,
266,20615,大,HangDi,
267,17168,德新,Zi,
268,21282,端己,Zi,
269,21282,秦妇吟秀才,FamousName,
270,21282,文靖,ShiHao,
271,21282,温韦,FamousName,
272,21436,致光,Zi,
273,21436,冬郎,BieCheng,
274,21436,致尧,Zi,
275,21436,玉山樵人,Hao,
276,21436,致免,Zi,
277,21436,香奁体,FamousName,
278,17287,彦之,Zi,
279,17287,九华山人,Hao,
280,17287,十五,HangDi,
281,14668,礼山,Zi,
282,18969,仲明,Zi,
283,18969,中明,Zi,
284,13206,八,HangDi,
285,19902,十,HangDi,
1,13897,太宗,MiaoHao,
2,13897,文皇帝,ShiHao,
3,13897,文武大圣大广孝皇帝,ShiHao,
4,13897,太宗文武大圣大广孝皇帝,ShiHao,
5,13897,唐太宗帝,ShiHao,
6,13897,唐太宗,MiaoHao,
7,13897,太原公子,FamousName,
8,13897,秦王,FengJue,
9,13897,赵公,FengJue,
108,16263,朱可久,BieCheng,
109,16263,可久,Ming,
110,16263,大,HangDi,
114,19251,胡钉铰,FamousName,
115,14776,殷功,Zi,
116,14776,武城县子,FengJue,
138,16981,公垂,Zi,
139,16981,短李,FamousName,
140,16981,三俊,FamousName,
141,16981,文肃,ShiHao,
142,16981,二十,HangDi,
143,16981,李二十,BieCheng,
144,16981,赵郡公,FengJue,
145,16981,赵国公,FengJue,
177,17089,长吉,Zi,
178,17089,贺鬼,FamousName,
179,17089,牛鬼少年,FamousName,
224,21869,冲天大将军,Hao,
225,21869,六,HangDi,
1,2435,西楚霸王,ZunHao,
2,2435,楚霸王,ShiHao,
3,2435,项籍,XingMing,
4,2435,项王,ShiHao,
5,2435,愤王,FamousName,
6,2435,项氏,FamousName,
7,2435,楚项,FamousName,
8,2435,楚籍,FamousName,
9,2435,霸楚,FamousName,
10,2435,楚重瞳,FamousName,
11,2435,籍,Ming,
12,2435,羽,Zi,
13,2435,子羽,Zi,
14,2435,鲁公,FengJue,
15,5338,陈思王,FengJue,
16,5338,陈王,FengJue,
17,5338,鄄城王,FengJue,
18,5338,雍丘王,FengJue,
19,5338,浚仪王,FengJue,
20,5338,东阿王,FengJue,
21,5338,子建,Zi,
22,5338,平原侯,FengJue,
23,5338,临淄侯,FengJue,
24,5338,思,ShiHao,
25,5338,鄄城,FengJue,
26,5338,浚仪,FengJue,
27,5338,思王,ShiHao,
28,8894,陶令,FamousName,
29,8894,陶叟,FamousName,
30,8894,陶徵君,FamousName,
31,8894,陶徵士,FamousName,
32,8894,陶居士,FamousName,
33,8894,五柳,BieCheng,
34,8894,五柳先生,BieCheng,
35,8894,种柳人,FamousName,
36,8894,陶彭泽,FamousName,
37,8894,靖节先生,BieCheng,
38,8894,靖节徵士,FamousName,
39,8894,靖节征士,FamousName,
40,8894,篱下先生,FamousName,
41,8894,归去来子,FamousName,
42,8894,彭泽令,BieCheng,
43,8894,彭泽宰,BieCheng,
44,8894,五柳陶,BieCheng,
45,8894,渊明,Zi,
46,8894,元亮,Zi,
47,8894,靖节,ShiHao,
48,29783,小范老子,FamousName,
49,29783,龙图老子,FamousName,
50,29783,范履霜,BieCheng,
51,29783,吃齑宰相,FamousName,
52,29783,希文,Zi,
53,29783,文正,ShiHao,
54,27305,子固,Zi,
55,27305,南丰先生,FamousName,
56,27305,文定,ShiHao,
57,29874,王荆公,FamousName,
58,29874,荆公,FengJue,
59,29874,拗相公,FamousName,
60,29874,獾郎,BieCheng,
61,29874,介甫,Zi,
62,29874,半山,Hao,
63,29874,荆国公,FengJue,
64,29874,文,ShiHao,
65,29874,舒国公,FengJue,
66,29874,舒王,FengJue,
67,29937,苏东坡,FamousName,
68,29937,苏长公,BieCheng,
69,29937,东坡,Hao,
70,29937,苏端明,FamousName,
71,29937,眉山公,FamousName,
72,29937,苏黄州,FamousName,
73,29937,坡老,FamousName,
74,29937,坡公,FamousName,
75,29937,坡仙,FamousName,
76,29937,坡翁,FamousName,
77,29937,髯苏,FamousName,
78,29937,老髯苏,FamousName,
79,29937,玉局翁,FamousName,
80,29937,雪堂翁,FamousName,
81,29937,雪堂,Hao,
82,29937,雪堂居士,Hao,
83,29937,黄州迁客,FamousName,
84,29937,儋耳翁,FamousName,
85,29937,玉局仙,FamousName,
86,29937,苏玉局,FamousName,
87,29937,老坡,FamousName,
88,29937,狂副使,FamousName,
89,29937,苏密州,FamousName,
90,29937,眉山先生苏公,FamousName,
91,29937,内翰太师文忠公,FamousName,
92,29937,子瞻,Zi,
93,29937,和仲,Zi,
94,29937,东坡居士,Hao,
95,29937,文忠,ShiHao,
96,27794,易安居士,Hao,
97,34522,务观,Zi,
98,34522,放翁,Hao,
99,34522,渭南县伯,FengJue,
100,27865,廷秀,Zi,
101,27865,诚斋,Hao,
102,27865,文节,ShiHao,
103,32928,稼轩,Hao,
104,32928,忠敏,ShiHao,
